object_type,table,model_name,source_column,data_type,hidden,key,description_or_dax
column,Geo,ZIP,Zip,string,yes,PK,ZIP key one-side of Customer
column,Geo,City,City,string,no,,Composite City ST USA label
column,Geo,State,State,string,no,,2-letter state 49 distinct
column,Geo,Region,Region,string,no,,East Central West
column,Geo,District,District,string,no,,District 39 distinct
column,Geo,Country,Country,string,no,,Constant USA
column,Campaign,Campaign ID,CampaignID,int64,yes,PK,Campaign key 1-22
column,Campaign,Traffic Channel,TrafficChannel,string,no,,Acquisition channel trimmed Affliliate to Affiliate
column,Campaign,Device,Device,string,no,,Device Deskop to Desktop
column,Campaign,Channel Type,,string,no,,Derived Digital if Desktop Mobile Tablet else Offline
measure,Key Measures,Units Sold,,,no,,SUM ( Sales[Units] )
measure,Key Measures,Distinct Customers,,,no,,DISTINCTCOUNT ( Sales[Customer ID] )
measure,Key Measures,Distinct Products Sold,,,no,,DISTINCTCOUNT ( Sales[Product ID] )
measure,Key Measures,Revenue,,,no,,SUMX ( Sales Sales[Units] * RELATED ( Product[Unit Price] ) )
measure,Key Measures,Cost,,,no,,SUMX ( Sales Sales[Units] * RELATED ( Product[Unit Cost] ) )
measure,Key Measures,Gross Margin,,,no,,[Revenue] - [Cost]
measure,Key Measures,Gross Margin %,,,no,,DIVIDE ( [Gross Margin] [Revenue] )
measure,Key Measures,Average Selling Price,,,no,,DIVIDE ( [Revenue] [Units Sold] )
measure,Key Measures,Revenue per Customer,,,no,,DIVIDE ( [Revenue] [Distinct Customers] )
measure,Key Measures,Budget,,,no,,CALCULATE ( SUM ( Budget[Amount] ) Budget[Type] = "Budget" )
measure,Key Measures,Forecast,,,no,,CALCULATE ( SUM ( Budget[Amount] ) Budget[Type] = "Forecast" )
measure,Key Measures,Revenue vs Budget,,,no,,[Revenue] - [Budget]
measure,Key Measures,Revenue vs Budget %,,,no,,DIVIDE ( [Revenue] - [Budget] [Budget] )
measure,Key Measures,Budget Attainment %,,,no,,DIVIDE ( [Revenue] [Budget] )
measure,Key Measures,Revenue PY,,,no,,CALCULATE ( [Revenue] SAMEPERIODLASTYEAR ( Date[Date] ) )
measure,Key Measures,Revenue YoY,,,no,,[Revenue] - [Revenue PY]
measure,Key Measures,Revenue YoY %,,,no,,DIVIDE ( [Revenue] - [Revenue PY] [Revenue PY] )
measure,Key Measures,Revenue YTD,,,no,,TOTALYTD ( [Revenue] Date[Date] )
measure,Key Measures,Digital Revenue,,,no,,CALCULATE ( [Revenue] Campaign[Device] IN { "Desktop" "Mobile" "Tablet" } )
measure,Key Measures,Digital Revenue %,,,no,,DIVIDE ( [Digital Revenue] [Revenue] )
relationship,Sales,Date[Date],Sales[Date],,,,1-to-many single
relationship,Sales,Product[Product ID],Sales[Product ID],,,,1-to-many single
relationship,Sales,Customer[Customer ID],Sales[Customer ID],,,,1-to-many single
relationship,Sales,Campaign[Campaign ID],Sales[Campaign ID],,,,1-to-many single
relationship,Customer,Geo[ZIP],Customer[ZIP],,,,1-to-many single
relationship,Budget,Date[Date],Budget[Date],,,,1-to-many single
relationship,Product,Product Group[Category-Segment],Product[Category-Segment],,,,1-to-many single
relationship,Budget,Product Group[Category-Segment],Budget[Category-Segment],,,,1-to-many single
