AccountID,CustomerID,ProductID,OpenDate
A0000265,C00082,P002,2021-07-23
A0000266,C00082,P106,2022-08-04
A0000267,C00082,P202,2021-12-27
A0000268,C00082,P204,2022-01-27
A0000269,C00082,P302,2021-09-14
A0000270,C00083,P004,2022-09-24
A0000271,C00083,P001,2022-10-07
A0000272,C00083,P106,2022-11-19
A0000273,C00083,P202,2022-11-07
A0000274,C00083,P203,2022-09-04
A0000275,C00084,P003,2020-12-21
A0000276,C00084,P101,2022-04-12
A0000277,C00084,P201,2020-12-07
A0000278,C00085,P007,2021-07-21
A0000279,C00085,P203,2021-08-10
A0000280,C00086,P001,2021-01-02
A0000281,C00086,P202,2021-04-25
A0000282,C00087,P006,2020-05-04
A0000283,C00087,P203,2020-05-19
A0000284,C00088,P006,2024-01-28
A0000285,C00088,P203,2024-06-25
A0000286,C00088,P302,2025-12-31
A0000287,C00089,P004,2021-02-13
A0000288,C00089,P202,2021-02-21
A0000289,C00090,P001,2024-07-26
A0000290,C00090,P004,2024-07-22
A0000291,C00090,P104,2024-11-25
A0000292,C00090,P202,2024-07-13
A0000293,C00090,P204,2025-06-26
A0000294,C00091,P005,2022-11-13
A0000295,C00091,P202,2023-04-17
A0000296,C00092,P007,2024-05-03
A0000297,C00092,P003,2024-04-19
A0000298,C00092,P006,2024-04-29
A0000299,C00092,P101,2024-05-13
A0000300,C00092,P206,2024-12-12
A0000301,C00092,P205,2024-04-24
A0000302,C00092,P205,2024-11-01
A0000303,C00092,P304,2025-08-29
A0000304,C00093,P003,2022-05-30
A0000305,C00093,P201,2022-08-01
A0000306,C00094,P006,2023-03-15
A0000307,C00094,P105,2024-11-22
A0000308,C00094,P202,2023-09-25
A0000309,C00095,P004,2023-05-15
A0000310,C00095,P203,2023-07-21
A0000311,C00096,P001,2021-12-17
A0000312,C00096,P203,2022-09-08
A0000313,C00097,P002,2024-01-20
A0000314,C00097,P201,2024-03-03
A0000315,C00098,P002,2023-07-09
A0000316,C00098,P203,2024-01-24
A0000317,C00099,P006,2023-04-09
A0000318,C00099,P201,2023-12-05
A0000319,C00100,P004,2023-12-17
A0000320,C00100,P002,2024-01-03
A0000321,C00100,P203,2024-06-19
A0000322,C00100,P202,2024-11-26
A0000323,C00100,P303,2026-02-06
A0000324,C00101,P006,2022-05-17
A0000325,C00101,P203,2022-10-25
A0000326,C00102,P001,2024-03-29
A0000327,C00102,P203,2024-10-31
A0000328,C00103,P006,2021-10-07
A0000329,C00103,P201,2022-04-17
A0000330,C00103,P302,2023-03-21
A0000331,C00104,P001,2024-04-01
A0000332,C00104,P203,2025-01-28
A0000333,C00105,P001,2025-03-10
A0000334,C00105,P202,2025-08-26
A0000335,C00106,P002,2020-05-27
A0000336,C00106,P201,2020-07-29
A0000337,C00107,P004,2024-11-25
A0000338,C00107,P203,2025-06-27
A0000339,C00108,P003,2020-11-01
A0000340,C00108,P106,2021-06-04
A0000341,C00108,P202,2021-01-27
A0000342,C00109,P004,2023-02-23
A0000343,C00109,P203,2023-05-20
A0000344,C00110,P003,2025-07-16
A0000345,C00110,P202,2026-05-05
A0000346,C00111,P006,2025-05-14
A0000347,C00111,P002,2025-06-11
A0000348,C00111,P204,2025-05-04
A0000349,C00111,P204,2025-09-17
A0000350,C00112,P005,2021-09-08
A0000351,C00112,P202,2022-01-14
A0000352,C00113,P003,2020-05-11
A0000353,C00113,P201,2021-02-11
A0000354,C00114,P001,2023-09-07
A0000355,C00114,P201,2024-02-29
A0000356,C00115,P001,2022-05-02
A0000357,C00115,P104,2024-04-05
A0000358,C00115,P202,2022-11-30
A0000359,C00116,P004,2020-11-25
A0000360,C00116,P106,2022-05-20
A0000361,C00116,P203,2021-07-10
A0000362,C00116,P302,2021-01-02
A0000363,C00117,P006,2021-12-17
A0000364,C00117,P201,2022-06-25
A0000365,C00118,P001,2023-10-01
A0000366,C00118,P203,2024-08-23
A0000367,C00119,P004,2022-03-21
A0000368,C00119,P203,2022-06-23
A0000369,C00120,P004,2024-06-09
A0000370,C00120,P006,2024-06-13
A0000371,C00120,P005,2024-06-08
A0000372,C00120,P101,2025-01-01
A0000373,C00120,P204,2024-08-25
A0000374,C00120,P205,2024-04-30
A0000375,C00120,P206,2024-05-05
A0000376,C00121,P006,2021-09-30
A0000377,C00121,P003,2021-10-20
A0000378,C00121,P102,2023-10-15
A0000379,C00121,P202,2022-04-12
A0000380,C00121,P204,2022-07-13
A0000381,C00122,P002,2023-10-25
A0000382,C00122,P202,2024-06-26
A0000383,C00123,P003,2023-08-03
A0000384,C00123,P201,2023-11-17
A0000385,C00124,P001,2020-07-17
A0000386,C00124,P203,2021-05-14
A0000387,C00125,P002,2021-07-22
A0000388,C00125,P201,2021-06-12
A0000389,C00126,P007,2020-03-25
A0000390,C00126,P201,2020-11-20
A0000391,C00127,P007,2024-04-29
A0000392,C00127,P105,2025-07-18
A0000393,C00127,P203,2024-05-03
A0000394,C00128,P004,2024-08-27
A0000395,C00128,P201,2025-03-03
A0000396,C00129,P004,2023-06-16
A0000397,C00129,P102,2024-09-30
A0000398,C00129,P203,2023-07-09
A0000399,C00130,P001,2024-02-25
A0000400,C00130,P201,2024-09-06
A0000401,C00131,P001,2022-04-01
A0000402,C00131,P106,2024-04-22
A0000403,C00131,P203,2022-12-15
A0000404,C00132,P002,2021-06-26
A0000405,C00132,P101,2022-11-25
A0000406,C00132,P202,2021-11-11
A0000407,C00133,P003,2025-07-19
A0000408,C00133,P201,2025-08-17
A0000409,C00133,P301,2027-03-09
A0000410,C00134,P007,2025-08-06
A0000411,C00134,P202,2026-07-08
A0000412,C00135,P003,2020-06-17
A0000413,C00135,P203,2020-08-12
A0000414,C00136,P004,2020-08-15
A0000415,C00136,P105,2021-04-16
A0000416,C00136,P201,2020-07-26
A0000417,C00137,P001,2025-03-15
A0000418,C00137,P003,2025-04-18
A0000419,C00137,P004,2025-03-12
A0000420,C00137,P005,2025-04-01
A0000421,C00137,P205,2025-06-18
A0000422,C00137,P204,2025-07-16
A0000423,C00137,P206,2026-02-22
A0000424,C00137,P303,2026-08-10
A0000425,C00138,P004,2024-08-29
A0000426,C00138,P203,2025-05-25
A0000427,C00139,P005,2024-05-17
A0000428,C00139,P202,2024-09-02
A0000429,C00140,P005,2025-08-29
A0000430,C00140,P203,2026-03-03
A0000431,C00141,P003,2021-11-21
A0000432,C00141,P001,2021-12-07
A0000433,C00141,P202,2021-10-31
A0000434,C00141,P203,2022-05-05
A0000435,C00141,P305,2022-10-22
A0000436,C00142,P005,2020-02-11
A0000437,C00142,P202,2020-10-22
A0000438,C00143,P003,2020-04-01
A0000439,C00143,P203,2020-04-27
A0000440,C00144,P001,2021-09-17
A0000441,C00144,P006,2021-09-30
A0000442,C00144,P202,2021-12-30
A0000443,C00144,P204,2022-07-03
A0000444,C00145,P006,2024-08-02
A0000445,C00145,P202,2025-03-19
A0000446,C00146,P005,2025-01-02
A0000447,C00146,P203,2025-03-05
A0000448,C00147,P003,2023-04-16
A0000449,C00147,P202,2023-07-06
A0000450,C00148,P001,2020-04-18
A0000451,C00148,P003,2020-05-10
A0000452,C00148,P105,2021-08-26
A0000453,C00148,P203,2020-08-13
A0000454,C00148,P203,2021-03-14
A0000455,C00148,P301,2021-03-06
A0000456,C00149,P004,2024-04-05
A0000457,C00149,P201,2024-08-09
A0000458,C00150,P007,2024-07-12
A0000459,C00150,P201,2024-06-28
A0000460,C00151,P007,2025-08-09
A0000461,C00151,P104,2026-01-02
A0000462,C00151,P201,2025-10-10
A0000463,C00152,P005,2025-09-08
A0000464,C00152,P201,2025-08-27
A0000465,C00153,P003,2022-12-13
A0000466,C00153,P203,2023-05-22
A0000467,C00154,P004,2022-12-18
A0000468,C00154,P106,2024-01-05
A0000469,C00154,P201,2023-10-24
A0000470,C00155,P005,2022-03-15
A0000471,C00155,P203,2022-02-15
A0000472,C00156,P001,2020-12-14
A0000473,C00156,P202,2021-04-07
A0000474,C00156,P305,2022-07-02
A0000475,C00157,P003,2023-07-07
A0000476,C00157,P203,2023-11-15
A0000477,C00158,P003,2024-12-05
A0000478,C00158,P201,2025-04-22
A0000479,C00159,P007,2022-01-08
A0000480,C00159,P203,2022-06-30
A0000481,C00160,P006,2025-07-29
A0000482,C00160,P005,2025-08-07
A0000483,C00160,P204,2026-06-08
A0000484,C00160,P204,2026-02-07
A0000485,C00161,P002,2022-01-20
A0000486,C00161,P002,2022-01-11
A0000487,C00161,P006,2022-01-27
A0000488,C00161,P004,2022-02-07
A0000489,C00161,P206,2022-03-10
A0000490,C00161,P205,2022-03-01
A0000491,C00161,P206,2022-08-10
A0000492,C00161,P301,2023-05-19
A0000493,C00162,P001,2020-08-22
A0000494,C00162,P202,2020-10-11
A0000495,C00163,P002,2021-03-22
A0000496,C00163,P202,2021-03-08
A0000497,C00164,P006,2025-07-20
A0000498,C00164,P203,2025-11-08
A0000499,C00165,P005,2021-09-03
A0000500,C00165,P001,2021-09-27
A0000501,C00165,P102,2023-02-20
A0000502,C00165,P203,2022-04-25
A0000503,C00165,P203,2021-08-25
A0000504,C00165,P305,2023-09-03
A0000505,C00166,P006,2021-11-17
A0000506,C00166,P203,2022-09-17
A0000507,C00167,P006,2022-04-21
A0000508,C00167,P201,2022-11-02
A0000509,C00168,P001,2021-06-08
A0000510,C00168,P201,2021-12-14
A0000511,C00169,P003,2023-07-14
A0000512,C00169,P006,2023-06-22
A0000513,C00169,P105,2025-05-06
A0000514,C00169,P202,2024-04-18
A0000515,C00169,P203,2023-10-24
A0000516,C00170,P004,2020-08-07
A0000517,C00170,P201,2021-04-03
A0000518,C00171,P002,2023-08-26
A0000519,C00171,P201,2024-04-26
A0000520,C00172,P003,2025-08-13
A0000521,C00172,P201,2025-09-12
A0000522,C00173,P004,2024-07-05
A0000523,C00173,P005,2024-06-05
A0000524,C00173,P202,2024-12-17
A0000525,C00173,P203,2024-09-22
A0000526,C00173,P305,2024-09-05
A0000527,C00174,P003,2025-04-15
A0000528,C00174,P201,2025-05-11
A0000529,C00175,P004,2021-07-15
A0000530,C00175,P202,2021-06-19
A0000531,C00176,P001,2023-01-18
A0000532,C00176,P202,2023-01-19
A0000533,C00177,P006,2020-11-03
A0000534,C00177,P201,2021-08-07
A0000535,C00178,P006,2022-04-20
A0000536,C00178,P106,2022-11-22
A0000537,C00178,P202,2022-11-01
A0000538,C00179,P007,2023-02-07
A0000539,C00179,P201,2023-01-15
A0000540,C00180,P006,2020-03-20
A0000541,C00180,P203,2021-02-23
A0000542,C00181,P003,2024-07-28
A0000543,C00181,P005,2024-06-23
A0000544,C00181,P105,2026-07-22
A0000545,C00181,P202,2025-01-03
A0000546,C00181,P203,2025-01-15
A0000547,C00181,P305,2026-06-12
A0000548,C00182,P004,2021-05-28
A0000549,C00182,P203,2022-04-05
A0000550,C00183,P007,2025-10-01
A0000551,C00183,P101,2026-09-29
A0000552,C00183,P201,2026-08-08
A0000553,C00184,P001,2025-01-04
A0000554,C00184,P203,2025-06-05
A0000555,C00185,P005,2023-08-25
A0000556,C00185,P202,2024-03-19
A0000557,C00186,P006,2025-08-01
A0000558,C00186,P203,2025-09-21
A0000559,C00187,P007,2024-12-10
A0000560,C00187,P202,2025-04-16
A0000561,C00188,P003,2023-03-14
A0000562,C00188,P106,2024-01-15
A0000563,C00188,P201,2023-05-13
A0000564,C00189,P003,2025-03-12
A0000565,C00189,P201,2025-12-22
A0000566,C00190,P005,2020-07-22
A0000567,C00190,P202,2021-03-30
A0000568,C00191,P007,2025-06-14
A0000569,C00191,P007,2025-07-22
A0000570,C00191,P204,2025-07-02
A0000571,C00191,P204,2025-12-20
A0000572,C00192,P005,2023-07-23
A0000573,C00192,P201,2023-10-30
A0000574,C00192,P303,2025-01-25
A0000575,C00193,P007,2023-04-18
A0000576,C00193,P203,2023-08-17
A0000577,C00194,P005,2021-04-30
A0000578,C00194,P004,2021-04-23
A0000579,C00194,P102,2021-06-14
A0000580,C00194,P204,2021-07-06
A0000581,C00194,P204,2022-01-07
A0000582,C00194,P303,2023-01-24
A0000583,C00195,P002,2022-07-09
A0000584,C00195,P001,2022-07-07
A0000585,C00195,P007,2022-08-14
A0000586,C00195,P106,2023-02-12
A0000587,C00195,P204,2022-12-03
A0000588,C00195,P205,2023-06-18
A0000589,C00195,P205,2022-10-02
A0000590,C00196,P006,2023-08-14
A0000591,C00196,P103,2024-07-18
A0000592,C00196,P201,2024-01-24
A0000593,C00197,P006,2021-07-11
A0000594,C00197,P201,2021-06-22
A0000595,C00198,P007,2025-07-07
A0000596,C00198,P006,2025-06-23
A0000597,C00198,P104,2027-03-27
A0000598,C00198,P202,2026-05-04
A0000599,C00198,P203,2025-10-16
A0000600,C00199,P006,2023-03-05
A0000601,C00199,P005,2023-03-09
A0000602,C00199,P005,2023-03-26
A0000603,C00199,P204,2023-12-25
A0000604,C00199,P205,2023-04-14
A0000605,C00199,P205,2023-06-02
A0000606,C00199,P301,2025-01-14
A0000607,C00200,P005,2025-03-10
A0000608,C00200,P202,2025-05-14
A0000609,C00201,P001,2024-08-13
A0000610,C00201,P102,2024-11-11
A0000611,C00201,P201,2024-12-25
A0000612,C00202,P007,2025-05-29
A0000613,C00202,P203,2025-10-15
A0000614,C00203,P005,2023-02-20
A0000615,C00203,P202,2023-10-05
A0000616,C00204,P006,2022-08-03
A0000617,C00204,P006,2022-08-05
A0000618,C00204,P104,2022-08-08
A0000619,C00204,P203,2023-06-04
A0000620,C00204,P203,2023-04-12
A0000621,C00205,P006,2020-10-31
A0000622,C00205,P002,2020-12-14
A0000623,C00205,P006,2020-11-05
A0000624,C00205,P204,2021-07-17
A0000625,C00205,P206,2021-03-26
A0000626,C00205,P206,2021-10-08
A0000627,C00206,P003,2025-08-05
A0000628,C00206,P202,2025-07-18
A0000629,C00207,P006,2023-03-14
A0000630,C00207,P203,2023-06-05
A0000631,C00208,P002,2024-01-01
A0000632,C00208,P202,2024-09-28
A0000633,C00209,P004,2024-05-07
A0000634,C00209,P203,2024-06-02
A0000635,C00210,P004,2020-09-18
A0000636,C00210,P203,2020-12-27
A0000637,C00211,P007,2020-03-03
A0000638,C00211,P203,2020-09-12
A0000639,C00212,P007,2023-12-18
A0000640,C00212,P201,2024-11-05
A0000641,C00213,P001,2021-12-01
A0000642,C00213,P202,2022-03-05
A0000643,C00214,P005,2021-07-03
A0000644,C00214,P203,2021-11-14
A0000645,C00215,P002,2025-01-14
A0000646,C00215,P203,2025-12-19
A0000647,C00216,P004,2022-08-17
A0000648,C00216,P203,2023-04-12
A0000649,C00217,P003,2022-09-21
A0000650,C00217,P101,2024-01-08
A0000651,C00217,P201,2023-03-14
A0000652,C00218,P007,2020-06-19
A0000653,C00218,P104,2021-01-17
A0000654,C00218,P202,2020-09-08
A0000655,C00219,P004,2024-04-11
A0000656,C00219,P002,2024-05-23
A0000657,C00219,P104,2024-07-29
A0000658,C00219,P204,2024-10-10
A0000659,C00219,P202,2024-10-10
A0000660,C00220,P004,2021-10-28
A0000661,C00220,P202,2022-02-15
A0000662,C00221,P006,2022-03-05
A0000663,C00221,P003,2022-03-21
A0000664,C00221,P003,2022-04-09
A0000665,C00221,P005,2022-03-07
A0000666,C00221,P205,2022-08-17
A0000667,C00221,P205,2022-03-12
A0000668,C00221,P204,2022-05-08
A0000669,C00221,P301,2024-03-18
A0000670,C00222,P004,2021-09-11
A0000671,C00222,P203,2021-10-06
A0000672,C00223,P005,2021-12-06
A0000673,C00223,P203,2022-01-29
A0000674,C00224,P002,2023-05-07
A0000675,C00224,P202,2023-06-06
A0000676,C00225,P004,2022-02-06
A0000677,C00225,P202,2022-08-08
A0000678,C00226,P002,2024-12-11
A0000679,C00226,P203,2025-10-13
A0000680,C00227,P006,2021-05-07
A0000681,C00227,P203,2021-12-04
A0000682,C00228,P007,2022-11-21
A0000683,C00228,P203,2022-11-09
A0000684,C00229,P001,2020-12-17
A0000685,C00229,P202,2020-11-16
A0000686,C00230,P004,2024-12-16
A0000687,C00230,P203,2025-05-13
A0000688,C00231,P003,2023-02-12
A0000689,C00231,P007,2023-03-16
A0000690,C00231,P002,2023-02-03
A0000691,C00231,P002,2023-02-05
A0000692,C00231,P205,2023-02-21
A0000693,C00231,P206,2023-02-11
A0000694,C00231,P206,2023-10-01
A0000695,C00231,P305,2023-05-14
A0000696,C00232,P003,2020-04-24
A0000697,C00232,P201,2021-01-03
A0000698,C00233,P007,2020-05-12
A0000699,C00233,P001,2020-04-17
A0000700,C00233,P101,2021-10-21
A0000701,C00233,P204,2020-06-05
A0000702,C00233,P202,2021-01-12
A0000703,C00233,P304,2022-03-02
A0000704,C00234,P005,2022-06-10
A0000705,C00234,P202,2022-09-26
A0000706,C00235,P004,2021-07-22
A0000707,C00235,P203,2022-02-18
A0000708,C00236,P001,2020-07-31
A0000709,C00236,P101,2021-12-05
A0000710,C00236,P203,2020-07-25
A0000711,C00237,P004,2024-07-13
A0000712,C00237,P106,2026-07-05
A0000713,C00237,P201,2024-06-05
A0000714,C00238,P006,2025-07-31
A0000715,C00238,P007,2025-07-03
A0000716,C00238,P203,2026-05-15
A0000717,C00238,P203,2025-10-01
A0000718,C00239,P001,2020-08-28
A0000719,C00239,P007,2020-09-24
A0000720,C00239,P004,2020-09-04
A0000721,C00239,P204,2020-09-22
A0000722,C00239,P204,2020-11-13
A0000723,C00239,P206,2021-07-08
A0000724,C00240,P005,2025-08-16
A0000725,C00240,P202,2025-09-26
A0000726,C00241,P001,2024-07-04
A0000727,C00241,P104,2024-12-13
A0000728,C00241,P203,2024-12-19
A0000729,C00242,P005,2020-04-11
A0000730,C00242,P003,2020-02-29
A0000731,C00242,P001,2020-04-27
A0000732,C00242,P106,2021-06-22
A0000733,C00242,P206,2020-03-08
A0000734,C00242,P204,2021-01-31
